"X"	"Y"	"Lattice100m [Points]"	"AvgPrecipitation"	"AvgTempDiff"	"Dist2Faults"	"Dist2GeoBoundaries"	"Elevation"
300335.573761	3369413.648663	0.000000	67.667000	10.200000	5281.107910	30.000000	3002.500000
300435.573761	3369413.648663	0.000000	67.667000	10.200000	5361.770508	50.458839	3001.718750
300535.573761	3369413.648663	0.000000	67.667000	10.200000	5442.708984	124.886520	2954.156250
300635.573761	3369413.648663	0.000000	67.667000	10.200000	5537.481934	227.506210	2905.000000
300735.573761	3369413.648663	0.000000	67.833496	10.250000	5628.584961	331.714844	2830.250000
300835.573761	3369413.648663	0.000000	68.000000	10.300000	5698.625488	436.294037	2782.166748
300935.573761	3369413.648663	0.000000	68.000000	10.300000	5742.199219	526.071960	2724.916748
301035.573761	3369413.648663	0.000000	68.000000	10.300000	5735.503418	630.894348	2651.625000
301135.573761	3369413.648663	0.000000	68.000000	10.300000	5684.426758	720.782227	2586.062500
301235.573761	3369413.648663	0.000000	68.000000	10.300000	5624.836914	825.681946	2496.750000
301335.573761	3369413.648663	0.000000	68.000000	10.300000	5565.247559	930.605286	2515.875000
301435.573761	3369413.648663	0.000000	68.000000	10.300000	5505.657715	1035.543579	2571.666748
301535.573761	3369413.648663	1.000000	68.000000	10.300000	5454.581055	1125.500122	2627.000000
301635.573761	3369413.648663	0.000000	68.000000	10.300000	5394.991211	1230.457520	2626.437500
301735.573761	3369413.648663	1.000000	68.388664	10.244667	5335.401855	1335.421387	2614.583252
301835.573761	3369413.648663	0.000000	68.583000	10.217000	5284.458496	1422.582764	2623.333252
301935.573761	3369413.648663	0.000000	68.583000	10.217000	5225.899414	1514.497314	2634.250000
302035.573761	3369413.648663	0.000000	68.583000	10.217000	5167.604980	1602.857788	2600.083252
302135.573761	3369413.648663	0.000000	68.583000	10.217000	5117.638672	1680.161865	2561.250000
302235.573761	3369413.648663	0.000000	68.770500	10.085750	5059.387207	1771.899414	2565.875000
302335.573761	3369413.648663	0.000000	68.833000	10.042000	5009.893066	1851.623657	2607.000000
302435.573761	3369413.648663	0.000000	68.833000	10.042000	4952.497559	1937.538086	2613.083252
302535.573761	3369413.648663	0.000000	68.833000	10.042000	4895.108887	1950.000000	2615.250000
302635.573761	3369413.648663	0.000000	68.833000	10.042000	4845.918945	1947.766479	2672.125000
302735.573761	3369413.648663	1.000000	68.833000	10.042000	4788.838867	1899.195435	2704.166748
302835.573761	3369413.648663	0.000000	68.833000	10.042000	4732.931641	1824.520508	2685.500000
302935.573761	3369413.648663	0.000000	68.833000	10.042000	4685.231445	1761.270996	2660.937500
303035.573761	3369413.648663	0.000000	68.833000	10.042000	4629.582031	1686.605957	2640.000000
303135.573761	3369413.648663	0.000000	68.833000	10.042000	4574.049805	1612.757080	2647.625000
303235.573761	3369413.648663	0.000000	69.333252	9.885250	4527.276367	1548.931030	2678.500000
303335.573761	3369413.648663	1.000000	69.500000	9.833000	4473.543457	1477.552612	2754.166748
303435.573761	3369413.648663	0.000000	69.500000	9.833000	4419.878906	1410.596558	2820.781250
303535.573761	3369413.648663	0.000000	69.500000	9.833000	4374.029785	1356.955322	2872.687500
303635.573761	3369413.648663	0.000000	69.500000	9.833000	4321.736816	1299.316650	2904.166748
303735.573761	3369413.648663	0.000000	69.500000	9.833000	4271.406250	1247.077637	2848.687500
303835.573761	3369413.648663	1.000000	69.500000	9.833000	4229.034668	1195.060913	2819.812500
303935.573761	3369413.648663	0.000000	69.500000	9.833000	4179.691895	1131.990845	2754.583252
304035.573761	3369413.648663	0.000000	69.500000	9.833000	4131.486328	1075.824463	2709.500000
304135.573761	3369413.648663	0.000000	69.500000	9.833000	4091.719238	1033.612305	2697.812500
304235.573761	3369413.648663	0.000000	71.833000	10.025000	4046.183838	992.209534	2658.083252
304335.573761	3369413.648663	0.000000	71.833000	10.025000	4001.000000	961.024902	2587.125000
304435.573761	3369413.648663	0.000000	71.833000	10.025000	3957.520264	940.062439	2534.500000
304535.573761	3369413.648663	0.000000	71.833000	10.025000	3922.100830	931.409790	2504.000000
304635.573761	3369413.648663	0.000000	72.749748	10.122999	3881.701660	930.000000	2475.312500
304735.573761	3369413.648663	0.000000	75.500000	10.417000	3842.010010	930.000000	2452.000000
304835.573761	3369413.648663	0.000000	75.500000	10.417000	3809.710938	930.000000	2377.083252
304935.573761	3369413.648663	0.000000	75.500000	10.417000	3772.754395	930.302307	2245.875000
305035.573761	3369413.648663	1.000000	75.500000	10.417000	3735.730225	936.226685	2202.333252
305135.573761	3369413.648663	0.000000	75.500000	10.417000	3700.554688	950.531067	2198.750000
305235.573761	3369413.648663	0.000000	75.500000	10.417000	3656.050537	977.721985	2099.062500
305335.573761	3369413.648663	0.000000	75.500000	10.417000	3611.255859	982.184570	2014.166626
305435.573761	3369413.648663	0.000000	75.500000	10.417000	3572.860596	957.133423	1997.500000
305535.573761	3369413.648663	0.000000	75.500000	10.417000	3528.073730	938.301819	1969.500000
305635.573761	3369413.648663	0.000000	77.611000	10.583667	3484.004639	930.403076	1937.166626
305735.573761	3369413.648663	0.000000	81.833000	10.917000	3448.124512	930.000000	1876.916626
305835.573761	3369413.648663	0.000000	81.833000	10.917000	3407.342529	930.000000	1841.937500
305935.573761	3369413.648663	0.000000	81.833000	10.917000	3366.601807	930.000000	1848.833374
306035.573761	3369413.648663	1.000000	81.833000	10.917000	3332.471680	930.000000	1798.833374
306135.573761	3369413.648663	0.000000	84.208000	11.075000	3295.222900	930.000000	1688.500000
306235.573761	3369413.648663	0.000000	86.583000	11.233000	3259.530518	930.000000	1596.666626
306335.573761	3369413.648663	0.000000	86.583000	11.233000	3229.168701	930.000000	1597.083374
306435.573761	3369413.648663	0.000000	86.583000	11.233000	3195.773193	924.580017	1640.562500
306535.573761	3369413.648663	0.000000	86.583000	11.233000	3165.297119	851.453491	1685.250000
306635.573761	3369413.648663	0.000000	86.583000	11.233000	3140.536133	764.577332	1776.416626
306735.573761	3369413.648663	1.000000	86.583000	11.233000	3112.429443	664.315918	1843.250000
306835.573761	3369413.648663	0.000000	86.583000	11.233000	3087.083008	565.687195	1887.083374
306935.573761	3369413.648663	0.000000	86.583000	11.233000	3064.365479	483.343781	1912.916626
307035.573761	3369413.648663	0.000000	86.583000	11.233000	3011.718750	391.773438	1938.437500
307135.573761	3369413.648663	0.000000	85.305664	11.277667	2955.379883	306.888245	1967.083374
307235.573761	3369413.648663	0.000000	84.667000	11.300000	2908.249512	227.506210	1949.083374
307335.573761	3369413.648663	0.000000	84.667000	11.300000	2853.350830	124.886520	1907.187500
307435.573761	3369413.648663	0.000000	84.667000	11.300000	2798.452148	39.953526	1872.750000
307535.573761	3369413.648663	0.000000	84.667000	11.300000	2751.396240	20.000000	1869.666626
307635.573761	3369413.648663	0.000000	84.667000	11.300000	2696.497559	30.000000	1916.875000
307735.573761	3369413.648663	0.000000	84.667000	11.300000	2641.599121	30.000000	1914.416626
307835.573761	3369413.648663	0.000000	84.667000	11.300000	2594.265381	30.000000	1914.916626
307935.573761	3369413.648663	0.000000	84.667000	11.300000	2536.062500	26.250000	1931.500000
308035.573761	3369413.648663	0.000000	84.667000	11.300000	2477.278076	100.000000	1948.916626
308135.573761	3369413.648663	0.000000	81.250000	11.350000	2426.891357	120.000000	1936.333374
308235.573761	3369413.648663	0.000000	81.250000	11.350000	2367.959717	70.363411	1913.031250
308335.573761	3369413.648663	0.000000	81.250000	11.350000	2315.459717	27.330921	1892.562500
308435.573761	3369413.648663	0.000000	81.250000	11.350000	2252.774658	25.000000	1988.000000
308535.573761	3369413.648663	0.000000	81.250000	11.350000	2190.089600	60.000000	2034.937500
308635.573761	3369413.648663	0.000000	81.499748	11.462500	2136.359375	150.000000	2091.187500
308735.573761	3369413.648663	0.000000	81.583000	11.500000	2073.674316	255.000000	2141.333252
308835.573761	3369413.648663	0.000000	81.583000	11.500000	2010.989136	360.000000	2142.500000
308935.573761	3369413.648663	0.000000	81.583000	11.500000	1957.259033	450.000000	2130.312500
309035.573761	3369413.648663	0.000000	81.583000	11.500000	1894.573853	555.000000	2074.250000
309135.573761	3369413.648663	0.000000	81.583000	11.500000	1827.271240	660.000000	1991.562500
309235.573761	3369413.648663	0.000000	81.583000	11.500000	1764.712891	682.500000	1924.000000
309335.573761	3369413.648663	0.000000	81.583000	11.500000	1690.291260	585.000000	1853.250000
309435.573761	3369413.648663	0.000000	81.583000	11.500000	1615.803223	480.000000	1762.312500
309535.573761	3369413.648663	0.000000	82.624748	11.541750	1551.956177	390.000000	1733.562500
309635.573761	3369413.648663	0.000000	85.750000	11.667000	1477.468018	285.000000	1709.500000
309735.573761	3369413.648663	1.000000	85.750000	11.667000	1402.979736	180.000000	1742.437500
309835.573761	3369413.648663	0.000000	85.750000	11.667000	1339.132813	90.000000	1795.625000
309935.573761	3369413.648663	0.000000	85.750000	11.667000	1264.644653	25.000000	1853.083374
310035.573761	3369413.648663	0.000000	85.750000	11.667000	1190.156494	120.000000	1824.562500
310135.573761	3369413.648663	0.000000	85.750000	11.667000	1126.267822	210.000000	1801.000000
310235.573761	3369413.648663	0.000000	85.750000	11.667000	1051.485596	311.467590	1825.041626
310335.573761	3369413.648663	0.000000	85.750000	11.667000	976.633911	363.829834	1908.187500
310435.573761	3369413.648663	0.000000	85.750000	11.667000	912.475342	408.241180	1928.312500
310535.573761	3369413.648663	0.000000	85.527664	11.675333	837.623596	451.857452	1894.250000
310635.573761	3369413.648663	0.000000	85.083000	11.692000	762.771912	500.162720	1891.875000
310735.573761	3369413.648663	0.000000	85.083000	11.692000	698.613281	541.154663	1911.437500
310835.573761	3369413.648663	0.000000	85.083000	11.692000	623.608154	584.667358	1906.333374
310935.573761	3369413.648663	0.000000	85.083000	11.692000	544.964111	634.871399	1883.312500
311035.573761	3369413.648663	0.000000	85.687248	11.704500	476.153961	671.524658	1853.375000
311135.573761	3369413.648663	0.000000	87.500000	11.742000	395.875427	708.899658	1824.958374
311235.573761	3369413.648663	0.000000	87.500000	11.742000	315.596893	635.440979	1790.687500
311335.573761	3369413.648663	0.000000	87.500000	11.742000	246.786728	551.866333	1753.187500
311435.573761	3369413.648663	0.000000	87.500000	11.742000	166.508194	456.541138	1686.833374
311535.573761	3369413.648663	0.000000	87.500000	11.742000	86.229660	366.910431	1662.312500
311635.573761	3369413.648663	0.000000	87.500000	11.742000	26.841589	294.463806	1629.062500
311735.573761	3369413.648663	0.000000	87.500000	11.742000	62.621994	197.893845	1590.416626
311835.573761	3369413.648663	0.000000	87.500000	11.742000	80.367531	96.682404	1576.937500
311935.573761	3369413.648663	0.000000	87.500000	11.742000	26.395966	37.465141	1574.500000
312035.573761	3369413.648663	0.000000	84.111336	11.669333	86.972115	25.000000	1604.833374
312135.573761	3369413.648663	0.000000	82.417000	11.633000	178.036835	37.500000	1639.562500
312235.573761	3369413.648663	0.000000	82.417000	11.633000	255.548645	120.000000	1677.812500
312335.573761	3369413.648663	0.000000	82.417000	11.633000	345.979095	225.000000	1733.083374
300335.573761	3369513.648663	0.000000	67.875252	10.225000	5241.540039	120.000000	2949.500000
300435.573761	3369513.648663	0.000000	67.875252	10.225000	5322.801758	128.117081	2970.218750
300535.573761	3369513.648663	0.000000	67.875252	10.225000	5404.324219	172.989838	2961.718750
300635.573761	3369513.648663	0.000000	67.875252	10.225000	5499.759766	256.976135	2928.583252
300735.573761	3369513.648663	0.000000	68.187622	10.272875	5595.554688	352.746429	2854.812500
300835.573761	3369513.648663	0.000000	68.500000	10.320750	5691.658203	452.454041	2794.416748
300935.573761	3369513.648663	0.000000	68.500000	10.320750	5771.483887	539.560242	2732.000000
301035.573761	3369513.648663	0.000000	68.500000	10.320750	5803.384277	642.204956	2632.562500
301135.573761	3369513.648663	0.000000	68.500000	10.320750	5758.528809	730.702942	2549.437500
301235.573761	3369513.648663	0.000000	68.500000	10.320750	5698.939453	834.349915	2495.000000
301335.573761	3369513.648663	0.000000	68.500000	10.320750	5639.349609	938.310242	2497.250000
301435.573761	3369513.648663	0.000000	68.500000	10.320750	5579.760254	1042.469849	2553.166748
301535.573761	3369513.648663	0.000000	68.500000	10.320750	5528.683105	1131.876465	2591.166748
301635.573761	3369513.648663	0.000000	68.500000	10.320750	5469.093750	1236.295166	2575.312500
301735.573761	3369513.648663	1.000000	68.819336	10.273750	5409.558105	1340.800537	2565.333252
301835.573761	3369513.648663	1.000000	68.979004	10.250250	5359.080566	1430.435791	2574.666748
301935.573761	3369513.648663	0.000000	68.979004	10.250250	5300.754395	1535.065308	2605.437500
302035.573761	3369513.648663	2.000000	68.979004	10.250250	5242.460938	1637.271606	2575.166748
302135.573761	3369513.648663	0.000000	68.979004	10.250250	5192.496094	1721.263184	2547.000000
302235.573761	3369513.648663	0.000000	68.963249	10.122188	5134.506836	1815.646118	2551.187500
302335.573761	3369513.648663	2.000000	68.958000	10.079500	5085.253906	1894.340332	2590.312500
302435.573761	3369513.648663	0.000000	68.958000	10.079500	5027.865234	1986.437744	2579.125000
302535.573761	3369513.648663	1.000000	68.958000	10.079500	4970.476563	2037.911255	2580.687500
302635.573761	3369513.648663	0.000000	68.958000	10.079500	4921.380859	2027.557617	2630.750000
302735.573761	3369513.648663	1.000000	68.958000	10.079500	4864.932617	1962.470459	2654.916748
302835.573761	3369513.648663	3.000000	68.958000	10.079500	4809.251465	1888.451904	2633.687500
302935.573761	3369513.648663	1.000000	68.958000	10.079500	4761.551270	1824.643799	2609.937500
303035.573761	3369513.648663	0.000000	68.958000	10.079500	4705.908203	1750.626465	2580.416748
303135.573761	3369513.648663	0.000000	68.958000	10.079500	4650.830566	1676.312866	2636.687500
303235.573761	3369513.648663	0.000000	69.364502	9.919750	4604.568848	1614.783203	2689.187500
303335.573761	3369513.648663	0.000000	69.500000	9.866500	4550.900879	1546.426147	2710.750000
303435.573761	3369513.648663	0.000000	69.500000	9.866500	4497.274414	1482.573853	2788.656250
303535.573761	3369513.648663	0.000000	69.500000	9.866500	4451.886230	1431.616211	2849.500000
303635.573761	3369513.648663	0.000000	69.500000	9.866500	4400.506836	1377.080688	2904.583252
303735.573761	3369513.648663	0.000000	69.500000	9.866500	4350.788574	1320.891724	2893.687500
303835.573761	3369513.648663	0.000000	69.500000	9.866500	4308.461914	1266.501099	2850.187500
303935.573761	3369513.648663	0.000000	69.500000	9.866500	4259.400879	1207.135132	2801.000000
304035.573761	3369513.648663	0.000000	69.500000	9.866500	4212.076660	1154.610474	2758.812500
304135.573761	3369513.648663	0.000000	69.500000	9.866500	4172.791992	1115.358887	2742.562500
304235.573761	3369513.648663	0.000000	71.666504	10.023000	4127.310059	1077.069824	2682.166748
304335.573761	3369513.648663	0.000000	71.666504	10.023000	4082.686523	1048.391968	2627.718750
304435.573761	3369513.648663	0.000000	71.666504	10.023000	4040.082520	1029.191284	2574.416748
304535.573761	3369513.648663	0.000000	71.666504	10.023000	4005.155762	1021.286743	2541.500000
304635.573761	3369513.648663	0.000000	72.609253	10.115250	3964.871338	1020.000000	2506.312500
304735.573761	3369513.648663	0.000000	75.437500	10.392000	3925.851807	1020.000000	2480.666748
304835.573761	3369513.648663	0.000000	75.437500	10.392000	3893.948730	1020.000000	2409.083252
304935.573761	3369513.648663	0.000000	75.437500	10.392000	3856.997314	1020.275879	2243.937500
305035.573761	3369513.648663	0.000000	75.437500	10.392000	3819.124756	1025.685669	2163.750000
305135.573761	3369513.648663	0.000000	75.437500	10.392000	3782.206787	1038.770508	2144.500000
305235.573761	3369513.648663	0.000000	75.437500	10.392000	3737.449463	1063.731934	2114.562500
305335.573761	3369513.648663	0.000000	75.437500	10.392000	3692.655029	1067.834717	2010.125000
305435.573761	3369513.648663	0.000000	75.437500	10.392000	3654.259521	1044.820557	1965.416626
305535.573761	3369513.648663	0.000000	75.437500	10.392000	3609.595215	1027.582642	1944.062500
305635.573761	3369513.648663	1.000000	77.687416	10.559333	3566.342041	1020.367859	1920.166626
305735.573761	3369513.648663	0.000000	82.187248	10.894000	3531.040283	1020.000000	1847.666626
305835.573761	3369513.648663	0.000000	82.187248	10.894000	3490.287109	1020.000000	1793.875000
305935.573761	3369513.648663	0.000000	82.187248	10.894000	3449.692871	1020.000000	1777.416626
306035.573761	3369513.648663	1.000000	82.187248	10.894000	3416.306152	1020.000000	1744.166626
306135.573761	3369513.648663	0.000000	83.395622	10.993750	3379.803711	1020.000000	1652.750000
306235.573761	3369513.648663	0.000000	84.604004	11.093500	3344.207520	1020.000000	1590.083374
306335.573761	3369513.648663	0.000000	84.604004	11.093500	3314.172363	1019.797302	1637.875000
306435.573761	3369513.648663	1.000000	84.604004	11.093500	3281.633789	974.803467	1701.687500
306535.573761	3369513.648663	1.000000	84.604004	11.093500	3251.800781	878.458374	1733.750000
306635.573761	3369513.648663	0.000000	84.604004	11.093500	3227.084961	794.528442	1771.916626
306735.573761	3369513.648663	0.000000	84.604004	11.093500	3199.510986	698.588440	1846.312500
306835.573761	3369513.648663	0.000000	84.604004	11.093500	3174.776611	605.492554	1904.416626
306935.573761	3369513.648663	0.000000	84.604004	11.093500	3143.793701	528.060364	1953.000000
