"SU.ID"	"ObservedCounts"	"IntensityMIonly"	"IntensityLSEonly"
3	0	0.0427950415809878	0.0258316794369534
4	0	1.42340990460895	1.26026857899453
5	2	2.88299797727868	2.09931106820571
6	0	0.793608687869618	0.398430738279057
11	0	1.91566395927012	1.53941851290895
12	0	0.223457696866522	0.0733898375090467
13	0	0.80668029845938	0.489395252182346
16	1	1.90707645881807	2.24567417697575
17	9	3.89878990773724	6.51826697143297
18	0	2.70658980366053	0.638025307743531
19	3	2.09205267266992	2.44811026836768
20	0	0.761815355849846	0.334987035037967
21	1	2.18176029407291	1.68282732656897
22	4	2.55668075942824	3.88066680456325
23	0	2.21780577195817	0.566275499714975
24	0	0.697892047853198	0.314525648338367
25	0	1.54333591102676	0.731963882132798
26	2	8.67879337346693	2.67408739605428
27	0	1.9832139782297	0.916532174517698
28	5	6.4437110997155	3.54924895449725
29	7	3.06242110466378	5.24013242689889
30	5	15.9253731885308	9.03566272652212
31	0	1.6623676598621	1.55726249904543
32	3	3.60576931137561	3.15687600934634
33	3	6.10131187727858	4.42415161157347
34	35	19.4293657272682	31.6589283873404
35	7	3.6109421444138	6.08147854000659
36	15	7.45403747218231	13.0812335862916
37	2	4.99995160097967	4.15003495067159
38	0	1.13495822852412	0.985455230226466
39	8	6.60407154629722	8.39095351961662
40	3	2.64542972700906	2.98603119639391
41	8	27.5321735133834	9.79759351360907
42	2	3.70775178585883	3.14305239102695
43	5	5.15962360293054	5.57434434130763
44	3	3.90066778641307	3.71305079874935
45	21	25.8471838801155	21.0383741184865
46	7	5.58455662145508	7.6272803147819
47	4	3.21817050609527	4.14601889584901
48	44	12.0623741150011	38.3489440354958
49	3	2.09190357877141	2.67778941801301
50	0	0.0997078611239337	0.272608083648702
51	2	1.80487025428036	2.23656846735647
52	0	1.24178383346736	0.475719837956802
53	18	10.7629952662757	16.4864145763796
54	12	12.9359412427773	13.3072571259679
55	30	13.2195421760186	27.6080326865255
57	0	3.11582258016371	1.75618537815624
58	1	9.21562137375306	2.95386927763763
59	6	21.4076057354481	8.42039141199251
60	2	1.44250743150479	2.16881787425785
61	5	2.85196846423875	4.81237580448066
62	6	7.46220146526691	6.93816043456903
63	34	33.0721891218722	34.5967279355462
64	0	0.673087603510863	0.375315285906366
65	23	6.90218989187087	21.3854037043706
66	18	16.2166701683399	17.499488707043
67	4	9.11686624283113	6.14460433989131
68	12	9.6054617948267	11.4956181349048
69	4	4.95678087416721	4.98106394448448
70	24	17.5344854699647	21.3558230129484
71	7	2.12516055712666	4.07562801628512
72	5	3.5300949213065	4.40013871083904
73	3	5.86084814447417	3.97234440961024
74	11	17.7061325097639	11.9574547436014
75	0	4.73163441451777	2.09053419728506
76	3	4.38650461513866	4.18837347444429
77	13	3.90142609626807	11.3330377119311
78	9	7.57634143999182	9.29735293479484
79	2	1.12186242975658	2.13183903665688
80	16	9.7029363338884	14.5747373075839
81	4	10.0792748983118	4.9902364096553
82	10	8.61690336559457	9.83453782961183
83	10	2.42744021117588	7.94465412749461
84	2	2.03450019335617	1.9419245980162
85	10	4.15929147630756	9.00969258420817
86	5	4.58549580349335	6.02195897200093
87	1	2.50438554037209	1.42953776602903
88	1	3.89124931893046	3.09469987647517
89	4	8.37076241006672	6.39580141618923
90	7	9.33685535880247	8.11187711014661
91	4	5.58421349238547	4.62183490733249
92	13	13.7653147855137	12.6474276074623
93	11	3.72390403860247	7.69789556252676
94	14	15.4676512387502	15.1256936858102
95	8	7.70947837904851	8.88347111293209
96	3	6.22054979257339	4.28469638505227
97	0	1.8332270069587	1.37738950101314
98	32	30.0513597607041	30.8854829376626
99	9	5.87697347935305	8.05626686638718
100	0	2.96166690705079	1.3674630822301
101	9	10.8784245932835	9.35515515278229
102	2	3.64700018599496	3.77014013719178
103	13	13.4845818613562	12.1483640204144
104	8	3.53372556564307	6.61388684030934
105	9	3.7188412200347	6.92385572445737
106	1	1.45719865145463	1.28094739308758
107	5	16.4023732899061	7.37824688011601
108	8	8.01026391608859	6.87590595794734
109	4	8.43375098216691	4.78184823422831
110	19	19.4097164174722	19.6835455949667
111	0	4.2792213565875	2.10324950435524
112	2	2.50312387511218	1.79282876702692
113	5	4.11629156112175	5.01967507108255
114	7	4.5909119646166	5.83073698718259
115	8	12.1506765210354	8.48122684363275
116	4	8.58665286230324	4.38771580613098
117	0	0.368837799513148	0.25488972462424
118	29	22.4172786308458	25.7584365704286
119	1	1.54727310802995	0.883723648841723
120	3	5.4889855655336	4.60869480489046
121	7	8.99490109593234	7.50036617554536
122	15	19.3894341833991	12.8779528880632
123	27	19.7160636063121	25.5212849997823
124	3	4.99998631072631	3.1877963581827
125	0	0.486926661401491	0.347065817286838
126	0	1.99365167608419	1.55285186983306
127	0	2.80933094470096	1.12180112445995
128	0	0.132460398795252	0.0536781943546123
129	0	1.49563074422106	0.475252198157802
130	9	7.52550270474208	8.13912282307271
131	18	8.61888893260561	16.514333370853
132	5	16.7503531639742	7.47501757648961
133	2	1.67003873699103	1.83469721709518
134	3	2.65916201549037	2.85456085661528
135	10	4.77531570217824	9.13670722400985
136	10	21.6840204671655	11.8517383358242
137	0	7.44337834923418	1.9620667056091
138	0	4.09333002139136	1.03635672403541
139	2	7.08944782423628	3.41384299079548
140	6	13.0309781852116	7.47819270186888
141	20	22.5885866040326	21.2999071427709
142	2	7.47612359579997	2.71661130172288
143	3	9.16069266394092	4.36683841132414
144	17	12.9991446279243	15.7909367608948
145	1	2.98692743888103	1.56718433879735
146	1	2.09546888304725	1.30572053469122
147	6	6.03032114062106	5.00038977651786
148	7	12.2915215929461	8.60323941369974
149	0	1.52767079251315	0.887724935436929
150	1	3.44180308194267	1.76512636129366
151	32	15.6631406271447	30.5597792474391
152	11	8.39464874713487	10.5823773999812
153	2	4.72445120983731	3.89188977939099
154	23	18.6854812976947	22.9825682505659
155	32	17.202286219346	30.3092837861462
156	13	7.30299240368205	12.028892872524
157	0	1.56108837699032	0.822074059194097
158	15	12.1917449465105	14.5654425068915
159	0	0.404116556414962	0.130484667821396
160	0	0.531637747636529	0.212844283776831
161	25	17.1829884703886	23.8862712340052
162	3	8.0067423394802	6.42709326637976
163	4	5.93379678471457	3.25142372052535
164	2	1.45052047789713	1.99460124141522
165	1	0.825369046077863	0.373811007404794
166	4	2.80887109445853	2.73783184572188
